1,/singer-fm-2250-embroidery-sewing-machine/p/itmehbayess9zfay?pid=SMCEHBAYHPFHR5GG&lid=LSTSMCEHBAYHPFHR5GG8J10ZM&marketplace=FLIPKART&srno=b_2_41&otracker=browse&fm=organic&iid=8c3c1641-1fc4-4c92-aac3-c10a9149dc0b.SMCEHBAYHPFHR5GG.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/sewing-machine/5/g/g/singer-2250-tradition-original-imaegwntctvg9rye.jpeg?q=70,Singer FM 2250 Embroidery Sewing Machine,₹6，999,(569),<div class="hGSR34 _2beYZw">4.4 ★</div>
2,/akhi-ami-mini-hand-manual-sewing-machine/p/itmeyhy5nesvuhyw?pid=SMCEYHY5WZENJSHJ&lid=LSTSMCEYHY5WZENJSHJRC0RGO&marketplace=FLIPKART&srno=b_2_42&otracker=browse&fm=organic&iid=46eb45a0-392a-4219-979f-194056e662b7.SMCEYHY5WZENJSHJ.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/j8lxyfk0/sewing-machine/q/6/h/ami-mini-hand-manual-sewing-machine-akhi-original-imaeyhtgkzju9bmg.jpeg?q=70,akhi Ami Mini Hand Manual Sewing Machine,₹224,(134),<div class="hGSR34 _1x2VEC">2.9 ★</div>
3,/gs-portable-compact-4-1-mini-adapter-foot-pedal-electric-sewing-machine/p/itmf2yxybjpfz372?pid=SMCFFZVJHV84ZDEW&lid=LSTSMCFFZVJHV84ZDEWREWKYT&marketplace=FLIPKART&srno=b_2_43&otracker=browse&fm=organic&iid=2f7deefe-41e3-4d20-9f4f-c917c78cbdce.SMCFFZVJHV84ZDEW.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jd0jtzk0/sewing-machine/d/e/w/portable-compact-4-in-1-mini-adapter-foot-pedal-electric-sewing-original-imaeevb3rhm32pjz.jpeg?q=70,GS Portable Compact 4 in 1 Mini Adapter Foot Pedal Electric Sewing Machine Electric Sewing Machine,₹895,(365),<div class="hGSR34 _2beYZw">3 ★</div>
4,/accedre-mini-stapler-style-hand-manual-sewing-machine/p/itme4dhfbmqvpdrz?pid=SMCE4DHFB2GQUJFW&lid=LSTSMCE4DHFB2GQUJFW3LKAOC&marketplace=FLIPKART&srno=b_2_44&otracker=browse&fm=organic&iid=0d99bb95-1a98-47f9-8367-6970b8557d14.SMCE4DHFB2GQUJFW.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/sewing-machine/j/f/w/accedre-mini-stapler-style-hand-original-imae4djeurqegu46.jpeg?q=70,Accedre Mini Stapler Style Hand Manual Sewing Machine,₹207,(998),<div class="hGSR34 _1x2VEC">2.3 ★</div>
5,/usha-stitch-magic-electric-sewing-machine/p/itmeb59mggtfchhs?pid=SMCEB59HEK5YAUSZ&lid=LSTSMCEB59HEK5YAUSZCF08VW&marketplace=FLIPKART&srno=b_2_45&otracker=browse&fm=organic&iid=2733328b-b0dc-473f-89e3-977bc6f39de5.SMCEB59HEK5YAUSZ.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/sewing-machine/u/s/z/usha-stitch-magic-book-original-imaeafb2phgdgq5t.jpeg?q=70,Usha Stitch Magic Electric Sewing Machine,₹15，399,(115),<div class="hGSR34 _2beYZw">3.9 ★</div>
6,/ibs-portable-mini-household-handheld-10-ea-01-electric-sewing-machine/p/itmeuc2buqmgdjr7?pid=SMCEUC2BKWEGYTMD&lid=LSTSMCEUC2BKWEGYTMDPPTB6C&marketplace=FLIPKART&srno=b_2_46&otracker=browse&fm=organic&iid=ac8c4a77-4c7f-46e7-bf9c-25a0af2b5206.SMCEUC2BKWEGYTMD.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/j34r6vk0-1/sewing-machine/t/m/d/portable-mini-household-handheld-10-ea-01-ibs-original-imaeucf6xnfcyjxt.jpeg?q=70,IBS Portable mini household Handheld 10 (EA) 01 Electric Sewing Machine,₹3，499,(5),<div class="hGSR34 _2beYZw">3.8 ★</div>
7,/dealcrox-handheld-mini-portable-stapler-embroidery-sewing-machine/p/itmeggcrdnjswvhp?pid=SMCEGGCRWVSDPA2F&lid=LSTSMCEGGCRWVSDPA2FBCAPK4&marketplace=FLIPKART&srno=b_2_47&otracker=browse&fm=organic&iid=4c5b2d51-bee9-4c2b-a53f-dcd87e82ea8b.SMCEGGCRWVSDPA2F.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/sewing-machine/a/2/f/dealcrox-handheld-mini-portable-stapler-original-imaegg8pnnzuhpzk.jpeg?q=70,Dealcrox Handheld Mini Portable Stapler Embroidery Sewing Machine,₹209,(96),<div class="hGSR34 _1x2VEC">2.6 ★</div>
8,/wotel-4-1-mini-adapter-foot-pedal-electric-sewing-machine/p/itmegxjtvzsazvgs?pid=SMCEGXJT35CAGRGB&lid=LSTSMCEGXJT35CAGRGBSRG8HS&marketplace=FLIPKART&srno=b_2_48&otracker=browse&fm=organic&iid=fb664d6e-5063-4c51-b602-23284ef58f45.SMCEGXJT35CAGRGB.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jlv70y80/sewing-machine/r/g/b/4-in-1-mini-adapter-foot-pedal-wotel-original-imaekx6wz3mrnnfe.jpeg?q=70,Wotel 4 in 1 Mini Adapter Foot Pedal Electric Sewing Machine,₹999,(563),<div class="hGSR34 _1x2VEC">2.8 ★</div>
9,/wds-multi-functional-powered-battery-ac-220v-power-50hz-mini-portable-sewing-machine-electric-machine-built-in-stitches-1/p/itmf3nzgf2w5kkug?pid=SMCF3MFGVMPYGCZK&lid=LSTSMCF3MFGVMPYGCZKRTPZWC&marketplace=FLIPKART&srno=b_2_49&otracker=browse&fm=organic&iid=0fd014eb-854a-4074-9f0f-ba249a5f9dd6.SMCF3MFGVMPYGCZK.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jf5plzk0/sewing-machine/z/y/c/multi-functional-powered-with-battery-or-ac-220v-power-50hz-mini-original-imaf3nzgdwztzazz.jpeg?q=70,WDS  Multi-functional Powered with Battery or AC 220V Power 50Hz Mini Portable Sewing Machine Electric Sewing Machine  ( Built-in Stitches 1) Electric Sewing Machine,₹940,(54),<div class="hGSR34 _2beYZw">3.2 ★</div>
10,/singer-start-fm1306-electric-sewing-machine/p/itme7b6zz2wdnz6e?pid=SMCE7B6ZXFS2DXNV&lid=LSTSMCE7B6ZXFS2DXNV100PZM&marketplace=FLIPKART&srno=b_2_50&otracker=browse&fm=organic&iid=9a751650-2a7b-40c7-8363-298cabf29de5.SMCE7B6ZXFS2DXNV.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/sewing-machine/x/n/v/singer-start-fm1306-original-imaeg9hygmhhk7mf.jpeg?q=70,Singer Start Fm1306 Electric Sewing Machine,₹8，065,(1，145),<div class="hGSR34 _2beYZw">4.3 ★</div>
